id,parent_event_id,venue_id,room_id,title,description,background_url,start_time_local,end_time_local,start_time_utc,end_time_utc,timezone
1,,4,9,Open Mic #100,Open Mic with special guests.,,2025-10-08T18:00:00,2025-10-08T22:00:00,2025-10-08T16:00:00Z,2025-10-08T20:00:00Z,America/New_York
2,,1,2,Electro Bash #101,Electro Bash with special guests.,,2025-10-09T19:00:00,2025-10-09T21:00:00,2025-10-09T18:00:00Z,2025-10-09T20:00:00Z,America/New_York
3,,5,15,Indie Fest #102,Indie Fest with special guests.,,2025-10-10T19:00:00,2025-10-10T22:00:00,2025-10-10T19:00:00Z,2025-10-10T22:00:00Z,America/New_York
4,,1,3,Open Mic #103,Open Mic with special guests.,,2025-10-11T18:00:00,2025-10-11T20:00:00,2025-10-11T18:00:00Z,2025-10-11T20:00:00Z,America/New_York
5,,1,1,Summer Beats #104,Summer Beats with special guests.,,2025-10-12T18:00:00,2025-10-12T22:00:00,2025-10-12T16:00:00Z,2025-10-12T20:00:00Z,America/New_York
6,,4,9,Summer Beats #105,Summer Beats with special guests.,,2025-10-13T19:00:00,2025-10-13T23:00:00,2025-10-13T19:00:00Z,2025-10-13T23:00:00Z,America/New_York
7,,6,16,Summer Beats #106,Summer Beats with special guests.,,2025-10-14T18:00:00,2025-10-14T20:00:00,2025-10-14T17:00:00Z,2025-10-14T19:00:00Z,America/New_York
8,,1,3,Funk Friday #107,Funk Friday with special guests.,,2025-10-15T19:00:00,2025-10-15T21:00:00,2025-10-15T17:00:00Z,2025-10-15T19:00:00Z,America/New_York
9,,5,15,Indie Fest #108,Indie Fest with special guests.,,2025-10-16T21:00:00,2025-10-16T23:00:00,2025-10-16T21:00:00Z,2025-10-16T23:00:00Z,America/New_York
10,,3,8,DJ Night #109,DJ Night with special guests.,,2025-10-17T18:00:00,2025-10-17T20:00:00,2025-10-17T17:00:00Z,2025-10-17T19:00:00Z,America/New_York
11,,5,14,Electro Bash #110,Electro Bash with special guests.,,2025-10-08T19:00:00,2025-10-08T21:00:00,2025-10-08T19:00:00Z,2025-10-08T21:00:00Z,America/New_York
12,,1,4,Funk Friday #111,Funk Friday with special guests.,,2025-10-09T19:00:00,2025-10-09T21:00:00,2025-10-09T19:00:00Z,2025-10-09T21:00:00Z,America/New_York
13,,1,3,Live Session #112,Live Session with special guests.,,2025-10-10T21:00:00,2025-10-11T01:00:00,2025-10-10T21:00:00Z,2025-10-11T01:00:00Z,America/New_York
14,,5,13,Live Session #113,Live Session with special guests.,,2025-10-11T18:00:00,2025-10-11T20:00:00,2025-10-11T17:00:00Z,2025-10-11T19:00:00Z,America/New_York
15,,1,2,Live Session #114,Live Session with special guests.,,2025-10-12T18:00:00,2025-10-12T22:00:00,2025-10-12T17:00:00Z,2025-10-12T21:00:00Z,America/New_York
16,,1,3,DJ Night #115,DJ Night with special guests.,,2025-10-13T19:00:00,2025-10-13T21:00:00,2025-10-13T17:00:00Z,2025-10-13T19:00:00Z,America/New_York
17,,5,14,Acoustic Eve #116,Acoustic Eve with special guests.,,2025-10-14T20:00:00,2025-10-14T23:00:00,2025-10-14T20:00:00Z,2025-10-14T23:00:00Z,America/New_York
18,,1,1,DJ Night #117,DJ Night with special guests.,,2025-10-15T21:00:00,2025-10-16T01:00:00,2025-10-15T19:00:00Z,2025-10-15T23:00:00Z,America/New_York
19,,1,3,Open Mic #118,Open Mic with special guests.,,2025-10-16T19:00:00,2025-10-16T22:00:00,2025-10-16T18:00:00Z,2025-10-16T21:00:00Z,America/New_York
20,,2,5,Open Mic #119,Open Mic with special guests.,,2025-10-17T20:00:00,2025-10-17T22:00:00,2025-10-17T20:00:00Z,2025-10-17T22:00:00Z,America/New_York
